ticker,company_name,sector,industry,cik,start_date,end_date,is_active,inclusion_source
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,0000077476,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
BRK-B,Berkshire Hathaway Inc.,Financials,Multi-Sector Holdings,0001067983,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,0000019617,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
BAC,Bank of America Corporation,Financials,Diversified Banks,0000070858,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
WFC,Wells Fargo & Company,Financials,Diversified Banks,0000072971,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
GS,The Goldman Sachs Group Inc.,Financials,Investment Banking and Brokerage,0000886982,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
V,Visa Inc.,Financials,Transaction and Payment Processing Services,0001403161,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
MA,Mastercard Incorporated,Financials,Transaction and Payment Processing Services,0001141391,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,0000059478,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,0000200406,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
ABBV,AbbVie Inc.,Health Care,Biotechnology,0001551152,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
UNH,UnitedHealth Group Incorporated,Health Care,Managed Health Care,0000731766,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
MRK,Merck & Co. Inc.,Health Care,Pharmaceuticals,0000310158,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
TMO,Thermo Fisher Scientific Inc.,Health Care,Life Sciences Tools and Services,0000097745,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0000001800,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
CAT,Caterpillar Inc.,Industrials,Construction Machinery,0000018230,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
RTX,RTX Corporation,Industrials,Aerospace and Defense,0000101829,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
UNP,Union Pacific Corporation,Industrials,Rail Transportation,0000100885,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
UPS,United Parcel Service Inc.,Industrials,Air Freight and Logistics,0001090727,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
HON,Honeywell International Inc.,Industrials,Industrial Conglomerates,0000773840,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
CVX,Chevron Corporation,Energy,Integrated Oil and Gas,0000093410,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
COP,ConocoPhillips,Energy,Oil and Gas Exploration and Production,0001163165,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
EOG,EOG Resources Inc.,Energy,Oil and Gas Exploration and Production,0000821189,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
NEE,NextEra Energy Inc.,Utilities,Electric Utilities,0000753308,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
SO,The Southern Company,Utilities,Electric Utilities,0000092122,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
PLD,Prologis Inc.,Real Estate,Industrial REITs,0001045609,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
APD,Air Products and Chemicals Inc.,Materials,Industrial Gases,0000002969,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
SHW,The Sherwin-Williams Company,Materials,Specialty Chemicals,0000089800,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
