signal,as_of_date,observations,ic
average_dollar_volume_20d_sector_neutral,2014-11-28,50,-0.23611044417767107
average_dollar_volume_20d_sector_neutral,2014-12-31,50,-0.1745498199279712
average_dollar_volume_20d_sector_neutral,2015-01-30,50,-0.2989195678271308
average_dollar_volume_20d_sector_neutral,2015-02-27,50,-0.25983193277310923
average_dollar_volume_20d_sector_neutral,2015-03-31,50,0.2494597839135654
average_dollar_volume_20d_sector_neutral,2015-04-30,50,-0.018103241296518604
average_dollar_volume_20d_sector_neutral,2015-05-29,50,0.2684753901560624
average_dollar_volume_20d_sector_neutral,2015-06-30,50,-0.04979591836734694
average_dollar_volume_20d_sector_neutral,2015-07-31,50,-0.20710684273709484
average_dollar_volume_20d_sector_neutral,2015-08-31,50,-0.25493397358943576
average_dollar_volume_20d_sector_neutral,2015-09-30,50,-0.09973589435774309
average_dollar_volume_20d_sector_neutral,2015-10-30,50,0.09791116446578632
average_dollar_volume_20d_sector_neutral,2015-11-30,50,0.04240096038415366
average_dollar_volume_20d_sector_neutral,2015-12-31,50,0.15034813925570228
average_dollar_volume_20d_sector_neutral,2016-01-29,50,-0.11663865546218487
average_dollar_volume_20d_sector_neutral,2016-02-29,50,-0.16878751500600236
average_dollar_volume_20d_sector_neutral,2016-03-31,50,0.216422569027611
average_dollar_volume_20d_sector_neutral,2016-04-29,50,-0.07140456182472989
average_dollar_volume_20d_sector_neutral,2016-05-31,50,-0.016950780312124852
average_dollar_volume_20d_sector_neutral,2016-06-30,50,-0.03097238895558223
average_dollar_volume_20d_sector_neutral,2016-07-29,50,0.030396158463385354
average_dollar_volume_20d_sector_neutral,2016-08-31,50,0.0981032412965186
average_dollar_volume_20d_sector_neutral,2016-09-30,50,0.053733493397358945
average_dollar_volume_20d_sector_neutral,2016-10-31,50,-0.05815126050420167
average_dollar_volume_20d_sector_neutral,2016-11-30,50,0.025210084033613446
average_dollar_volume_20d_sector_neutral,2016-12-30,50,0.08417767106842736
average_dollar_volume_20d_sector_neutral,2017-01-31,50,-0.15140456182472986
average_dollar_volume_20d_sector_neutral,2017-02-28,50,-0.09733493397358943
average_dollar_volume_20d_sector_neutral,2017-03-31,50,0.08129651860744297
average_dollar_volume_20d_sector_neutral,2017-04-28,50,0.17493397358943577
average_dollar_volume_20d_sector_neutral,2017-05-31,50,0.09070828331332531
average_dollar_volume_20d_sector_neutral,2017-06-30,50,0.027034813925570226
average_dollar_volume_20d_sector_neutral,2017-07-31,50,0.16830732292917167
average_dollar_volume_20d_sector_neutral,2017-08-31,50,-0.04192076830732293
average_dollar_volume_20d_sector_neutral,2017-09-29,50,0.16533013205282113
average_dollar_volume_20d_sector_neutral,2017-10-31,50,-0.24753901560624247
average_dollar_volume_20d_sector_neutral,2017-11-30,50,-0.03942376950780312
average_dollar_volume_20d_sector_neutral,2017-12-29,50,-0.013493397358943579
average_dollar_volume_20d_sector_neutral,2018-01-31,50,0.13402160864345739
average_dollar_volume_20d_sector_neutral,2018-02-28,50,-0.13142857142857142
average_dollar_volume_20d_sector_neutral,2018-03-29,50,0.11318127250900359
average_dollar_volume_20d_sector_neutral,2018-04-30,50,0.043169267707082834
average_dollar_volume_20d_sector_neutral,2018-05-31,50,0.015702280912364946
average_dollar_volume_20d_sector_neutral,2018-06-29,50,-0.06525810324129651
average_dollar_volume_20d_sector_neutral,2018-07-31,50,-0.1171188475390156
average_dollar_volume_20d_sector_neutral,2018-08-31,50,-0.19980792316926768
average_dollar_volume_20d_sector_neutral,2018-09-28,50,0.10031212484993997
average_dollar_volume_20d_sector_neutral,2018-10-31,50,-0.02156062424969988
average_dollar_volume_20d_sector_neutral,2018-11-30,50,-0.2217046818727491
average_dollar_volume_20d_sector_neutral,2018-12-31,50,0.08504201680672267
average_dollar_volume_20d_sector_neutral,2019-01-31,50,-0.028763505402160862
average_dollar_volume_20d_sector_neutral,2019-02-28,50,-0.024921968787515004
average_dollar_volume_20d_sector_neutral,2019-03-29,50,-0.02463385354141657
average_dollar_volume_20d_sector_neutral,2019-04-30,50,0.06439375750300119
average_dollar_volume_20d_sector_neutral,2019-05-31,50,-0.07399759903961585
average_dollar_volume_20d_sector_neutral,2019-06-28,50,0.008019207683073229
average_dollar_volume_20d_sector_neutral,2019-07-31,50,-0.25013205282112844
average_dollar_volume_20d_sector_neutral,2019-08-30,50,-0.06938775510204082
average_dollar_volume_20d_sector_neutral,2019-09-30,50,0.39025210084033607
average_dollar_volume_20d_sector_neutral,2019-10-31,50,0.1926050420168067
average_dollar_volume_20d_sector_neutral,2019-11-29,50,0.1829051620648259
average_dollar_volume_20d_sector_neutral,2019-12-31,50,0.11308523409363744
beta_60d_market_sector_neutral,2014-01-31,0,
beta_60d_market_sector_neutral,2014-02-28,0,
beta_60d_market_sector_neutral,2014-03-31,50,-0.24936374549819929
beta_60d_market_sector_neutral,2014-04-30,50,0.04
beta_60d_market_sector_neutral,2014-05-30,50,0.09848739495798318
beta_60d_market_sector_neutral,2014-06-30,50,-0.09896758703481391
beta_60d_market_sector_neutral,2014-07-31,50,0.13402160864345739
beta_60d_market_sector_neutral,2014-08-29,50,0.05584633853541416
beta_60d_market_sector_neutral,2014-09-30,50,-0.02559423769507803
beta_60d_market_sector_neutral,2014-10-31,50,0.03519807923169268
beta_60d_market_sector_neutral,2014-11-28,50,-0.12729891956782713
beta_60d_market_sector_neutral,2014-12-31,50,0.018583433373349337
beta_60d_market_sector_neutral,2015-01-30,50,-0.02482593037214886
beta_60d_market_sector_neutral,2015-02-27,50,-0.18309723889555823
beta_60d_market_sector_neutral,2015-03-31,50,0.060168067226890755
beta_60d_market_sector_neutral,2015-04-30,50,0.2516686674669868
beta_60d_market_sector_neutral,2015-05-29,50,-0.018775510204081632
beta_60d_market_sector_neutral,2015-06-30,50,0.19529411764705884
beta_60d_market_sector_neutral,2015-07-31,50,0.19154861944777912
beta_60d_market_sector_neutral,2015-08-31,50,-0.07678271308523409
beta_60d_market_sector_neutral,2015-09-30,50,-0.19337334933973588
beta_60d_market_sector_neutral,2015-10-30,50,0.3238895558223289
beta_60d_market_sector_neutral,2015-11-30,50,0.05459783913565427
beta_60d_market_sector_neutral,2015-12-31,50,-0.32945978391356545
beta_60d_market_sector_neutral,2016-01-29,50,-0.17032412965186072
beta_60d_market_sector_neutral,2016-02-29,50,0.18818727490996395
beta_60d_market_sector_neutral,2016-03-31,50,0.12192076830732293
beta_60d_market_sector_neutral,2016-04-29,50,0.17570228091236492
beta_60d_market_sector_neutral,2016-05-31,50,-0.23130852340936373
beta_60d_market_sector_neutral,2016-06-30,50,0.21575030012004803
beta_60d_market_sector_neutral,2016-07-29,50,0.26626650660264106
beta_60d_market_sector_neutral,2016-08-31,50,0.03510204081632653
beta_60d_market_sector_neutral,2016-09-30,50,-0.13277310924369748
beta_60d_market_sector_neutral,2016-10-31,50,0.056038415366146455
beta_60d_market_sector_neutral,2016-11-30,50,0.042977190876350546
beta_60d_market_sector_neutral,2016-12-30,50,0.2815366146458584
beta_60d_market_sector_neutral,2017-01-31,50,-0.21853541416566627
beta_60d_market_sector_neutral,2017-02-28,50,-0.009843937575030014
beta_60d_market_sector_neutral,2017-03-31,50,-0.14506602641056424
beta_60d_market_sector_neutral,2017-04-28,50,-0.005714285714285714
beta_60d_market_sector_neutral,2017-05-31,50,0.0010084033613445378
beta_60d_market_sector_neutral,2017-06-30,50,0.12422569027611044
beta_60d_market_sector_neutral,2017-07-31,50,0.11759903961584633
beta_60d_market_sector_neutral,2017-08-31,50,0.14929171668667465
beta_60d_market_sector_neutral,2017-09-29,50,0.1594717887154862
beta_60d_market_sector_neutral,2017-10-31,50,-0.04211284513805522
beta_60d_market_sector_neutral,2017-11-30,50,-0.14698679471788717
beta_60d_market_sector_neutral,2017-12-29,50,0.3715246098439376
beta_60d_market_sector_neutral,2018-01-31,50,0.04028811524609843
beta_60d_market_sector_neutral,2018-02-28,50,-0.16494597839135652
beta_60d_market_sector_neutral,2018-03-29,50,-0.032220888355342134
beta_60d_market_sector_neutral,2018-04-30,50,0.1201920768307323
beta_60d_market_sector_neutral,2018-05-31,50,-0.1078031212484994
beta_60d_market_sector_neutral,2018-06-29,50,-0.11145258103241296
beta_60d_market_sector_neutral,2018-07-31,50,0.020888355342136854
beta_60d_market_sector_neutral,2018-08-31,50,-0.14554621848739496
beta_60d_market_sector_neutral,2018-09-28,50,-0.25157262905162064
beta_60d_market_sector_neutral,2018-10-31,50,-0.08773109243697479
beta_60d_market_sector_neutral,2018-11-30,50,-0.10396158463385353
beta_60d_market_sector_neutral,2018-12-31,50,0.14929171668667465
beta_60d_market_sector_neutral,2019-01-31,50,-0.008019207683073229
beta_60d_market_sector_neutral,2019-02-28,50,0.06967587034813925
beta_60d_market_sector_neutral,2019-03-29,50,-0.1224969987995198
beta_60d_market_sector_neutral,2019-04-30,50,-0.39649459783913565
beta_60d_market_sector_neutral,2019-05-31,50,0.37027611044417763
beta_60d_market_sector_neutral,2019-06-28,50,0.05027611044417767
beta_60d_market_sector_neutral,2019-07-31,50,-0.09915966386554621
beta_60d_market_sector_neutral,2019-08-30,50,0.21853541416566627
beta_60d_market_sector_neutral,2019-09-30,50,0.30737094837935175
beta_60d_market_sector_neutral,2019-10-31,50,0.25013205282112844
beta_60d_market_sector_neutral,2019-11-29,50,0.24120048019207685
beta_60d_market_sector_neutral,2019-12-31,50,-0.06852340936374549
distance_sma_200d_sector_neutral,2014-01-31,0,
distance_sma_200d_sector_neutral,2014-02-28,0,
distance_sma_200d_sector_neutral,2014-03-31,0,
distance_sma_200d_sector_neutral,2014-04-30,0,
distance_sma_200d_sector_neutral,2014-05-30,0,
distance_sma_200d_sector_neutral,2014-06-30,0,
distance_sma_200d_sector_neutral,2014-07-31,0,
distance_sma_200d_sector_neutral,2014-08-29,0,
distance_sma_200d_sector_neutral,2014-09-30,0,
distance_sma_200d_sector_neutral,2014-10-31,50,0.0956062424969988
distance_sma_200d_sector_neutral,2014-11-28,50,0.1897238895558223
distance_sma_200d_sector_neutral,2014-12-31,50,0.049219687875150055
distance_sma_200d_sector_neutral,2015-01-30,50,0.09992797118847539
distance_sma_200d_sector_neutral,2015-02-27,50,0.2543577430972389
distance_sma_200d_sector_neutral,2015-03-31,50,-0.5263385354141656
distance_sma_200d_sector_neutral,2015-04-30,50,0.3611524609843937
distance_sma_200d_sector_neutral,2015-05-29,50,0.2154621848739496
distance_sma_200d_sector_neutral,2015-06-30,50,-0.1460264105642257
distance_sma_200d_sector_neutral,2015-07-31,50,0.16542617046818728
distance_sma_200d_sector_neutral,2015-08-31,50,0.02444177671068427
distance_sma_200d_sector_neutral,2015-09-30,50,-0.07438175270108043
distance_sma_200d_sector_neutral,2015-10-30,50,0.23121248499399757
distance_sma_200d_sector_neutral,2015-11-30,50,0.10108043217286913
distance_sma_200d_sector_neutral,2015-12-31,50,0.12489795918367347
distance_sma_200d_sector_neutral,2016-01-29,50,-0.1505402160864346
distance_sma_200d_sector_neutral,2016-02-29,50,0.005810324129651861
distance_sma_200d_sector_neutral,2016-03-31,50,-0.13575030012004802
distance_sma_200d_sector_neutral,2016-04-29,50,0.05661464585834333
distance_sma_200d_sector_neutral,2016-05-31,50,0.1878031212484994
distance_sma_200d_sector_neutral,2016-06-30,50,-0.11337334933973588
distance_sma_200d_sector_neutral,2016-07-29,50,-0.19942376950780313
distance_sma_200d_sector_neutral,2016-08-31,50,0.2796158463385354
distance_sma_200d_sector_neutral,2016-09-30,50,-0.023001200480192076
distance_sma_200d_sector_neutral,2016-10-31,50,-0.00744297719087635
distance_sma_200d_sector_neutral,2016-11-30,50,0.03692677070828331
distance_sma_200d_sector_neutral,2016-12-30,50,-0.17186074429771905
distance_sma_200d_sector_neutral,2017-01-31,50,-0.22506602641056422
distance_sma_200d_sector_neutral,2017-02-28,50,-0.1787755102040816
distance_sma_200d_sector_neutral,2017-03-31,50,0.021944777911164462
distance_sma_200d_sector_neutral,2017-04-28,50,0.294405762304922
distance_sma_200d_sector_neutral,2017-05-31,50,-0.06756302521008403
distance_sma_200d_sector_neutral,2017-06-30,50,0.16177671068427368
distance_sma_200d_sector_neutral,2017-07-31,50,0.3301320528211284
distance_sma_200d_sector_neutral,2017-08-31,50,-0.2514765906362545
distance_sma_200d_sector_neutral,2017-09-29,50,0.20662665066026412
distance_sma_200d_sector_neutral,2017-10-31,50,-0.1944297719087635
distance_sma_200d_sector_neutral,2017-11-30,50,-0.05248499399759904
distance_sma_200d_sector_neutral,2017-12-29,50,0.34809123649459783
distance_sma_200d_sector_neutral,2018-01-31,50,0.17445378151260504
distance_sma_200d_sector_neutral,2018-02-28,50,-0.048643457382953184
distance_sma_200d_sector_neutral,2018-03-29,50,0.053637454981992794
distance_sma_200d_sector_neutral,2018-04-30,50,0.07447779111644658
distance_sma_200d_sector_neutral,2018-05-31,50,0.06477791116446578
distance_sma_200d_sector_neutral,2018-06-29,50,-0.246578631452581
distance_sma_200d_sector_neutral,2018-07-31,50,0.3780552220888355
distance_sma_200d_sector_neutral,2018-08-31,50,0.0823529411764706
distance_sma_200d_sector_neutral,2018-09-28,50,-0.23351740696278508
distance_sma_200d_sector_neutral,2018-10-31,50,-0.09176470588235294
distance_sma_200d_sector_neutral,2018-11-30,50,0.08734693877551021
distance_sma_200d_sector_neutral,2018-12-31,50,-0.4862905162064826
distance_sma_200d_sector_neutral,2019-01-31,50,0.20710684273709484
distance_sma_200d_sector_neutral,2019-02-28,50,0.06890756302521008
distance_sma_200d_sector_neutral,2019-03-29,50,-0.003793517406962785
distance_sma_200d_sector_neutral,2019-04-30,50,0.2333253301320528
distance_sma_200d_sector_neutral,2019-05-31,50,-0.1648499399759904
distance_sma_200d_sector_neutral,2019-06-28,50,-0.16158463385354138
distance_sma_200d_sector_neutral,2019-07-31,50,0.2573349339735894
distance_sma_200d_sector_neutral,2019-08-30,50,-0.33944777911164464
distance_sma_200d_sector_neutral,2019-09-30,50,-0.14554621848739496
distance_sma_200d_sector_neutral,2019-10-31,50,0.07274909963985594
distance_sma_200d_sector_neutral,2019-11-29,50,0.031644657863145256
distance_sma_200d_sector_neutral,2019-12-31,50,-0.12825930372148858
distance_sma_50d_sector_neutral,2014-01-31,0,
distance_sma_50d_sector_neutral,2014-02-28,0,
distance_sma_50d_sector_neutral,2014-03-31,50,-0.030396158463385354
distance_sma_50d_sector_neutral,2014-04-30,50,-0.13354141656662666
distance_sma_50d_sector_neutral,2014-05-30,50,0.007346938775510203
distance_sma_50d_sector_neutral,2014-06-30,50,-0.11875150060024009
distance_sma_50d_sector_neutral,2014-07-31,50,-0.15198079231692677
distance_sma_50d_sector_neutral,2014-08-29,50,0.043745498199279705
distance_sma_50d_sector_neutral,2014-09-30,50,0.13037214885954382
distance_sma_50d_sector_neutral,2014-10-31,50,0.10357743097238895
distance_sma_50d_sector_neutral,2014-11-28,50,0.042593037214885957
distance_sma_50d_sector_neutral,2014-12-31,50,0.039711884753901555
distance_sma_50d_sector_neutral,2015-01-30,50,0.04211284513805522
distance_sma_50d_sector_neutral,2015-02-27,50,0.08024009603841536
distance_sma_50d_sector_neutral,2015-03-31,50,-0.48244897959183675
distance_sma_50d_sector_neutral,2015-04-30,50,-0.047202881152460976
distance_sma_50d_sector_neutral,2015-05-29,50,0.23937575030012
distance_sma_50d_sector_neutral,2015-06-30,50,-0.17829531812725088
distance_sma_50d_sector_neutral,2015-07-31,50,0.0346218487394958
distance_sma_50d_sector_neutral,2015-08-31,50,0.16187274909963983
distance_sma_50d_sector_neutral,2015-09-30,50,-0.12403361344537814
distance_sma_50d_sector_neutral,2015-10-30,50,0.08004801920768306
distance_sma_50d_sector_neutral,2015-11-30,50,0.047490996398559415
distance_sma_50d_sector_neutral,2015-12-31,50,0.02991596638655462
distance_sma_50d_sector_neutral,2016-01-29,50,-0.1472749099639856
distance_sma_50d_sector_neutral,2016-02-29,50,-0.23438175270108041
distance_sma_50d_sector_neutral,2016-03-31,50,-0.1061704681872749
distance_sma_50d_sector_neutral,2016-04-29,50,-0.08849939975990395
distance_sma_50d_sector_neutral,2016-05-31,50,-0.019543817527010805
distance_sma_50d_sector_neutral,2016-06-30,50,-0.20211284513805522
distance_sma_50d_sector_neutral,2016-07-29,50,-0.14717887154861942
distance_sma_50d_sector_neutral,2016-08-31,50,0.14823529411764705
distance_sma_50d_sector_neutral,2016-09-30,50,-0.007539015606242497
distance_sma_50d_sector_neutral,2016-10-31,50,-0.029819927971188476
distance_sma_50d_sector_neutral,2016-11-30,50,0.19394957983193276
distance_sma_50d_sector_neutral,2016-12-30,50,-0.15447779111644658
distance_sma_50d_sector_neutral,2017-01-31,50,-0.11270108043217285
distance_sma_50d_sector_neutral,2017-02-28,50,-0.09406962785114045
distance_sma_50d_sector_neutral,2017-03-31,50,0.11346938775510206
distance_sma_50d_sector_neutral,2017-04-28,50,0.34348139255702276
distance_sma_50d_sector_neutral,2017-05-31,50,-0.11078031212484994
distance_sma_50d_sector_neutral,2017-06-30,50,0.0034093637454981987
distance_sma_50d_sector_neutral,2017-07-31,50,0.06333733493397359
distance_sma_50d_sector_neutral,2017-08-31,50,-0.10540216086434574
distance_sma_50d_sector_neutral,2017-09-29,50,-0.043937575030012
distance_sma_50d_sector_neutral,2017-10-31,50,-0.09551020408163265
distance_sma_50d_sector_neutral,2017-11-30,50,0.07620648259303721
distance_sma_50d_sector_neutral,2017-12-29,50,0.01579831932773109
distance_sma_50d_sector_neutral,2018-01-31,50,0.12921968787515006
distance_sma_50d_sector_neutral,2018-02-28,50,-0.08388955582232892
distance_sma_50d_sector_neutral,2018-03-29,50,0.14228091236494594
distance_sma_50d_sector_neutral,2018-04-30,50,-0.15399759903961585
distance_sma_50d_sector_neutral,2018-05-31,50,0.07563025210084032
distance_sma_50d_sector_neutral,2018-06-29,50,-0.21085234093637453
distance_sma_50d_sector_neutral,2018-07-31,50,-0.06391356542617047
distance_sma_50d_sector_neutral,2018-08-31,50,0.031644657863145256
distance_sma_50d_sector_neutral,2018-09-28,50,-0.28633853541416565
distance_sma_50d_sector_neutral,2018-10-31,50,-0.003793517406962785
distance_sma_50d_sector_neutral,2018-11-30,50,-0.026074429771908762
distance_sma_50d_sector_neutral,2018-12-31,50,-0.49454981992797115
distance_sma_50d_sector_neutral,2019-01-31,50,-0.04854741896758703
distance_sma_50d_sector_neutral,2019-02-28,50,0.230828331332533
distance_sma_50d_sector_neutral,2019-03-29,50,-0.03414165666266506
distance_sma_50d_sector_neutral,2019-04-30,50,0.14842737094837935
distance_sma_50d_sector_neutral,2019-05-31,50,-0.306890756302521
distance_sma_50d_sector_neutral,2019-06-28,50,-0.08677070828331333
distance_sma_50d_sector_neutral,2019-07-31,50,-0.018967587034813924
distance_sma_50d_sector_neutral,2019-08-30,50,-0.08705882352941177
distance_sma_50d_sector_neutral,2019-09-30,50,0.0993517406962785
distance_sma_50d_sector_neutral,2019-10-31,50,0.2742376950780312
distance_sma_50d_sector_neutral,2019-11-29,50,0.08513805522208882
distance_sma_50d_sector_neutral,2019-12-31,50,0.11721488595438176
dollar_volume_change_20d_60d_sector_neutral,2014-01-31,0,
dollar_volume_change_20d_60d_sector_neutral,2014-02-28,0,
dollar_volume_change_20d_60d_sector_neutral,2014-03-31,50,-0.001680672268907563
dollar_volume_change_20d_60d_sector_neutral,2014-04-30,50,0.2394717887154862
dollar_volume_change_20d_60d_sector_neutral,2014-05-30,50,-0.005810324129651861
dollar_volume_change_20d_60d_sector_neutral,2014-06-30,50,0.04460984393757503
dollar_volume_change_20d_60d_sector_neutral,2014-07-31,50,-0.14641056422569024
dollar_volume_change_20d_60d_sector_neutral,2014-08-29,50,0.018391356542617046
dollar_volume_change_20d_60d_sector_neutral,2014-09-30,50,-0.009267707082833133
dollar_volume_change_20d_60d_sector_neutral,2014-10-31,50,0.11385354141656662
dollar_volume_change_20d_60d_sector_neutral,2014-11-28,50,0.21325330132052822
dollar_volume_change_20d_60d_sector_neutral,2014-12-31,50,0.00014405762304921967
dollar_volume_change_20d_60d_sector_neutral,2015-01-30,50,0.05795918367346939
dollar_volume_change_20d_60d_sector_neutral,2015-02-27,50,-0.10434573829531814
dollar_volume_change_20d_60d_sector_neutral,2015-03-31,50,-0.14285714285714285
dollar_volume_change_20d_60d_sector_neutral,2015-04-30,50,-0.1504441776710684
dollar_volume_change_20d_60d_sector_neutral,2015-05-29,50,0.053061224489795916
dollar_volume_change_20d_60d_sector_neutral,2015-06-30,50,-0.19490996398559424
dollar_volume_change_20d_60d_sector_neutral,2015-07-31,50,-0.039519807923169274
dollar_volume_change_20d_60d_sector_neutral,2015-08-31,50,-0.11625450180072029
dollar_volume_change_20d_60d_sector_neutral,2015-09-30,50,-0.17195678271308523
dollar_volume_change_20d_60d_sector_neutral,2015-10-30,50,0.4027370948379352
dollar_volume_change_20d_60d_sector_neutral,2015-11-30,50,0.11049219687875149
dollar_volume_change_20d_60d_sector_neutral,2015-12-31,50,0.06823529411764705
dollar_volume_change_20d_60d_sector_neutral,2016-01-29,50,-0.127875150060024
dollar_volume_change_20d_60d_sector_neutral,2016-02-29,50,0.10837935174069627
dollar_volume_change_20d_60d_sector_neutral,2016-03-31,50,-0.1201920768307323
dollar_volume_change_20d_60d_sector_neutral,2016-04-29,50,0.058343337334933965
dollar_volume_change_20d_60d_sector_neutral,2016-05-31,50,-0.05258103241296518
dollar_volume_change_20d_60d_sector_neutral,2016-06-30,50,-0.26501800720288116
dollar_volume_change_20d_60d_sector_neutral,2016-07-29,50,-0.13315726290516205
