as_of_date,first_signal,second_signal,observations,spearman_correlation
2017-03-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6434093637454982
2017-04-28,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6309243697478991
2017-05-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6716446578631452
2017-06-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6719327731092436
2017-07-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7177430972388955
2017-08-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7263865546218486
2017-09-29,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6868187274909963
2017-10-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6773109243697478
2017-11-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7227370948379351
2017-12-29,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7025690276110444
2018-01-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6980552220888354
2018-02-28,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7480912364945977
2018-03-29,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7708523409363746
2018-04-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7401200480192077
2018-05-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7318607442977191
2018-06-29,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7236974789915966
2018-07-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6463865546218487
2018-08-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.658967587034814
2018-09-28,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6645378151260504
2018-10-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7063145258103241
2018-11-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6716446578631452
2018-12-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7470348139255703
2019-01-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6429291716686675
2019-02-28,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7079471788715486
2019-03-29,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6384153661464586
2019-04-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6831692677070829
2019-05-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7309003601440576
2019-06-28,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6687635054021608
2019-07-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6674189675870348
2019-08-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7288835534213686
2019-09-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6816326530612244
2019-10-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5951020408163266
2019-11-29,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6957503001200479
2019-12-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6975750300120047
2014-01-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,0,
2014-02-28,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,0,
2014-03-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.057190876350540217
2014-04-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.19779111644657865
2014-05-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.008403361344537815
2014-06-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.009843937575030014
2014-07-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.31793517406962785
2014-08-29,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.025402160864345734
2014-09-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.23447779111644657
2014-10-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.10914765906362545
2014-11-28,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.04240096038415366
2014-12-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.05267707082833133
2015-01-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.352797118847539
2015-02-27,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.04969987995198079
2015-03-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.016182472989195677
2015-04-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.3529891956782713
2015-05-29,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.1266266506602641
2015-06-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.22189675870348136
2015-07-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.42617046818727483
2015-08-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.1348859543817527
2015-09-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.08206482593037215
2015-10-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.21565426170468185
2015-11-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.04902761104441777
2015-12-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.12115246098439375
2016-01-29,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.30103241296518607
2016-02-29,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.30833133253301315
2016-03-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.06324129651860745
2016-04-29,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.3831452581032413
2016-05-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.07025210084033613
2016-06-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.11030012004801922
2016-07-29,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.24533013205282111
2016-08-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.2670348139255702
2016-09-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.4050420168067227
2016-10-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.3315726290516206
2016-11-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.2939255702280912
2016-12-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.05517406962785113
2017-01-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.008979591836734692
2017-02-28,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.3831452581032413
2017-03-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.1438175270108043
2017-04-28,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.10472989195678271
2017-05-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.1400720288115246
2017-06-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.5006962785114045
2017-07-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.22189675870348136
2017-08-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.14929171668667465
2017-09-29,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.013973589435774309
2017-10-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.34376950780312115
2017-11-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.11702280912364946
2017-12-29,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.12067226890756304
2018-01-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.41906362545018006
2018-02-28,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.432124849939976
2018-03-29,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.17839135654261706
2018-04-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.26376950780312125
2018-05-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.13181272509003603
2018-06-29,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.01752701080432173
2018-07-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.33685474189675874
2018-08-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.2010564225690276
2018-09-28,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.13402160864345739
2018-10-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.2740456182472989
2018-11-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.17138055222088835
2018-12-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.023193277310924368
2019-01-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.1253781512605042
2019-02-28,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,-0.09339735894357742
2019-03-29,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.16494597839135652
2019-04-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.3641296518607443
2019-05-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.1696518607442977
2019-06-28,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.04969987995198079
2019-07-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.3299399759903961
2019-08-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.17512605042016804
2019-09-30,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.12566626650660262
2019-10-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.3605762304921969
2019-11-29,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.008019207683073229
2019-12-31,average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,50,0.24734693877551017
2014-01-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,0,
2014-02-28,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,0,
2014-03-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-04-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-05-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-06-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-07-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-08-29,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-09-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-10-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-11-28,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-12-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-01-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-02-27,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-03-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-04-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-05-29,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-06-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-07-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-08-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-09-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-10-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-11-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-12-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-01-29,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-02-29,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-03-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-04-29,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-05-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-06-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-07-29,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-08-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-09-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-10-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-11-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-12-30,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-01-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-02-28,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-03-31,average_dollar_volume_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
