as_of_date,sector,signal,observations,ic
2014-02-28,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.08571428571428573
2014-03-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.028571428571428574
2014-04-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.3142857142857143
2014-05-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.028571428571428574
2014-06-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.7142857142857143
2014-07-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.08571428571428573
2014-08-29,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.3142857142857143
2014-09-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.7714285714285715
2014-10-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.2571428571428572
2014-11-28,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.7142857142857143
2014-12-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.08571428571428573
2015-01-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.2571428571428572
2015-02-27,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.6571428571428573
2015-03-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.7714285714285715
2015-04-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.2
2015-05-29,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.3142857142857143
2015-06-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.3714285714285715
2015-07-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.5428571428571429
2015-08-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.14285714285714288
2015-09-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.2571428571428572
2015-10-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.08571428571428573
2015-11-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.48571428571428577
2015-12-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.14285714285714288
2016-01-29,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.14285714285714288
2016-02-29,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.4285714285714286
2016-03-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.2571428571428572
2016-04-29,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.3142857142857143
2016-05-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.028571428571428574
2016-06-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.08571428571428573
2016-07-29,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.6
2016-08-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.8285714285714287
2016-09-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.2
2016-10-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.028571428571428574
2016-11-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.028571428571428574
2016-12-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.2
2017-01-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.8285714285714287
2017-02-28,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.028571428571428574
2017-03-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.6
2017-04-28,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.8285714285714287
2017-05-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.028571428571428574
2017-06-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.08571428571428573
2017-07-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.5428571428571429
2017-08-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.7714285714285715
2017-09-29,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.3142857142857143
2017-10-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.028571428571428574
2017-11-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.6571428571428573
2017-12-29,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.3142857142857143
2018-01-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.48571428571428577
2018-02-28,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.7714285714285715
2018-03-29,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.8857142857142858
2018-04-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.4285714285714286
2018-05-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.14285714285714288
2018-06-29,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.4285714285714286
2018-07-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.028571428571428574
2018-08-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.7714285714285715
2018-09-28,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.028571428571428574
2018-10-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.6571428571428573
2018-11-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.8857142857142858
2018-12-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.028571428571428574
2019-01-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.942857142857143
2019-02-28,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.14285714285714288
2019-03-29,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.3714285714285715
2019-04-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.3142857142857143
2019-05-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.14285714285714288
2019-06-28,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.14285714285714288
2019-07-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.7714285714285715
2019-08-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.08571428571428573
2019-09-30,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.3714285714285715
2019-10-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.08571428571428573
2019-11-29,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.2571428571428572
2019-12-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,-0.8285714285714287
2014-01-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.3
2014-02-28,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.09999999999999999
2014-03-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.49999999999999994
2014-04-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.6
2014-05-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.6
2014-06-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.3
2014-07-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.7
2014-08-29,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.8999999999999998
2014-09-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.3
2014-10-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.09999999999999999
2014-11-28,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.09999999999999999
2014-12-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.8999999999999998
2015-01-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.39999999999999997
2015-02-27,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.7999999999999999
2015-03-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.7
2015-04-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.09999999999999999
2015-05-29,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.7
2015-06-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.9999999999999999
2015-07-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.7
2015-08-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.3
2015-09-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.7
2015-10-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.09999999999999999
2015-11-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.9999999999999999
2015-12-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.7
2016-01-29,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.3
2016-02-29,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.09999999999999999
2016-03-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.3
2016-04-29,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.09999999999999999
2016-05-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.3
2016-06-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.49999999999999994
2016-07-29,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.7
2016-08-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.7
2016-09-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.3
2016-10-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.7
2016-11-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.8999999999999998
2016-12-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.3
2017-01-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.7999999999999999
2017-02-28,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.3
2017-03-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.8999999999999998
2017-04-28,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.09999999999999999
2017-05-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.7999999999999999
2017-06-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.7
2017-07-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.6
2017-08-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.3
2017-09-29,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.0
2017-10-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.6
2017-11-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.3
2017-12-29,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.39999999999999997
2018-01-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.0
2018-02-28,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.3
2018-03-29,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.3
2018-04-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.09999999999999999
2018-05-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.6
2018-06-29,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.7
2018-07-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.19999999999999998
2018-08-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.3
2018-09-28,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.6
2018-10-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.3
2018-11-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.9999999999999999
2018-12-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.3
2019-01-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.09999999999999999
2019-02-28,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.3
2019-03-29,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.09999999999999999
2019-04-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.3
2019-05-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.09999999999999999
2019-06-28,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.7
2019-07-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.8999999999999998
2019-08-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.49999999999999994
2019-09-30,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.7999999999999999
2019-10-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.09999999999999999
2019-11-29,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,-0.3
2019-12-31,Consumer Staples,amihud_illiquidity_20d_sector_neutral,5,0.6
2014-01-31,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2014-02-28,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2014-03-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2014-04-30,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2014-05-30,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2014-06-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2014-07-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2014-08-29,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2014-09-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2014-10-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2014-11-28,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2014-12-31,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2015-01-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2015-02-27,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2015-03-31,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2015-04-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2015-05-29,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2015-06-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2015-07-31,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2015-08-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2015-09-30,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2015-10-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2015-11-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2015-12-31,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2016-01-29,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2016-02-29,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2016-03-31,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2016-04-29,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2016-05-31,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2016-06-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2016-07-29,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2016-08-31,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2016-09-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2016-10-31,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2016-11-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2016-12-30,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2017-01-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2017-02-28,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2017-03-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2017-04-28,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2017-05-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2017-06-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2017-07-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2017-08-31,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2017-09-29,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2017-10-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2017-11-30,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2017-12-29,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2018-01-31,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2018-02-28,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2018-03-29,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2018-04-30,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2018-05-31,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2018-06-29,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2018-07-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2018-08-31,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2018-09-28,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2018-10-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2018-11-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2018-12-31,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2019-01-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2019-02-28,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2019-03-29,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2019-04-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2019-05-31,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2019-06-28,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2019-07-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-1.0
2019-08-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2019-09-30,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2019-10-31,Energy,amihud_illiquidity_20d_sector_neutral,3,0.5
2019-11-29,Energy,amihud_illiquidity_20d_sector_neutral,3,1.0
2019-12-31,Energy,amihud_illiquidity_20d_sector_neutral,3,-0.5
2014-01-31,Financials,amihud_illiquidity_20d_sector_neutral,7,0.21428571428571433
2014-02-28,Financials,amihud_illiquidity_20d_sector_neutral,7,-0.21428571428571433
2014-03-31,Financials,amihud_illiquidity_20d_sector_neutral,7,0.6071428571428572
2014-04-30,Financials,amihud_illiquidity_20d_sector_neutral,7,0.6071428571428572
2014-05-30,Financials,amihud_illiquidity_20d_sector_neutral,7,-0.39285714285714296
2014-06-30,Financials,amihud_illiquidity_20d_sector_neutral,7,0.42857142857142866
2014-07-31,Financials,amihud_illiquidity_20d_sector_neutral,7,0.14285714285714288
2014-08-29,Financials,amihud_illiquidity_20d_sector_neutral,7,-0.7142857142857144
2014-09-30,Financials,amihud_illiquidity_20d_sector_neutral,7,0.9642857142857145
2014-10-31,Financials,amihud_illiquidity_20d_sector_neutral,7,0.642857142857143
2014-11-28,Financials,amihud_illiquidity_20d_sector_neutral,7,-0.5357142857142858
2014-12-31,Financials,amihud_illiquidity_20d_sector_neutral,7,0.5714285714285715
2015-01-30,Financials,amihud_illiquidity_20d_sector_neutral,7,0.21428571428571433
2015-02-27,Financials,amihud_illiquidity_20d_sector_neutral,7,0.10714285714285716
2015-03-31,Financials,amihud_illiquidity_20d_sector_neutral,7,0.14285714285714288
2015-04-30,Financials,amihud_illiquidity_20d_sector_neutral,7,0.28571428571428575
2015-05-29,Financials,amihud_illiquidity_20d_sector_neutral,7,-0.7142857142857144
2015-06-30,Financials,amihud_illiquidity_20d_sector_neutral,7,0.14285714285714288
2015-07-31,Financials,amihud_illiquidity_20d_sector_neutral,7,0.5714285714285715
2015-08-31,Financials,amihud_illiquidity_20d_sector_neutral,7,0.3571428571428572
2015-09-30,Financials,amihud_illiquidity_20d_sector_neutral,7,0.3571428571428572
2015-10-30,Financials,amihud_illiquidity_20d_sector_neutral,7,-0.9642857142857145
2015-11-30,Financials,amihud_illiquidity_20d_sector_neutral,7,0.1785714285714286
2015-12-31,Financials,amihud_illiquidity_20d_sector_neutral,7,0.3214285714285715
2016-01-29,Financials,amihud_illiquidity_20d_sector_neutral,7,0.5357142857142858
2016-02-29,Financials,amihud_illiquidity_20d_sector_neutral,7,0.0
2016-03-31,Financials,amihud_illiquidity_20d_sector_neutral,7,-0.5714285714285715
2016-04-29,Financials,amihud_illiquidity_20d_sector_neutral,7,-0.5714285714285715
2016-05-31,Financials,amihud_illiquidity_20d_sector_neutral,7,0.14285714285714288
2016-06-30,Financials,amihud_illiquidity_20d_sector_neutral,7,0.4642857142857144
2016-07-29,Financials,amihud_illiquidity_20d_sector_neutral,7,-0.42857142857142866
2016-08-31,Financials,amihud_illiquidity_20d_sector_neutral,7,0.14285714285714288
2016-09-30,Financials,amihud_illiquidity_20d_sector_neutral,7,0.3571428571428572
2016-10-31,Financials,amihud_illiquidity_20d_sector_neutral,7,-0.14285714285714288
2016-11-30,Financials,amihud_illiquidity_20d_sector_neutral,7,-0.3571428571428572
