feature,canonical_technical_feature,family,is_fundamental,is_technical,is_momentum,included_full_model,included_no_fundamentals,included_no_momentum
fund__net_debt_to_assets_zscore,,fundamental,True,False,False,True,False,True
fund__current_ratio_zscore,,fundamental,True,False,False,True,False,True
fund__interest_coverage_zscore,,fundamental,True,False,False,True,False,True
fund__capex_to_assets_zscore,,fundamental,True,False,False,True,False,True
fund__accruals_zscore,,fundamental,True,False,False,True,False,True
fund__revenue_growth_yoy_zscore,,fundamental,True,False,False,True,False,True
fund__net_income_growth_yoy_zscore,,fundamental,True,False,False,True,False,True
fund__operating_cash_flow_growth_yoy_zscore,,fundamental,True,False,False,True,False,True
fund__asset_growth_yoy_zscore,,fundamental,True,False,False,True,False,True
fund__revenue_growth_acceleration_zscore,,fundamental,True,False,False,True,False,True
fund__net_income_growth_acceleration_zscore,,fundamental,True,False,False,True,False,True
fund__operating_cash_flow_growth_acceleration_zscore,,fundamental,True,False,False,True,False,True
fund__earnings_yield_sector_zscore,,fundamental,True,False,False,True,False,True
fund__sales_yield_sector_zscore,,fundamental,True,False,False,True,False,True
fund__book_to_market_sector_zscore,,fundamental,True,False,False,True,False,True
fund__fcf_yield_sector_zscore,,fundamental,True,False,False,True,False,True
fund__roe_sector_zscore,,fundamental,True,False,False,True,False,True
fund__roa_sector_zscore,,fundamental,True,False,False,True,False,True
fund__gross_profitability_sector_zscore,,fundamental,True,False,False,True,False,True
fund__gross_margin_sector_zscore,,fundamental,True,False,False,True,False,True
fund__operating_margin_sector_zscore,,fundamental,True,False,False,True,False,True
fund__net_margin_sector_zscore,,fundamental,True,False,False,True,False,True
fund__cash_conversion_sector_zscore,,fundamental,True,False,False,True,False,True
fund__debt_to_assets_sector_zscore,,fundamental,True,False,False,True,False,True
fund__net_debt_to_assets_sector_zscore,,fundamental,True,False,False,True,False,True
fund__current_ratio_sector_zscore,,fundamental,True,False,False,True,False,True
fund__interest_coverage_sector_zscore,,fundamental,True,False,False,True,False,True
fund__capex_to_assets_sector_zscore,,fundamental,True,False,False,True,False,True
fund__accruals_sector_zscore,,fundamental,True,False,False,True,False,True
fund__revenue_growth_yoy_sector_zscore,,fundamental,True,False,False,True,False,True
fund__net_income_growth_yoy_sector_zscore,,fundamental,True,False,False,True,False,True
fund__operating_cash_flow_growth_yoy_sector_zscore,,fundamental,True,False,False,True,False,True
fund__asset_growth_yoy_sector_zscore,,fundamental,True,False,False,True,False,True
fund__revenue_growth_acceleration_sector_zscore,,fundamental,True,False,False,True,False,True
fund__net_income_growth_acceleration_sector_zscore,,fundamental,True,False,False,True,False,True
fund__operating_cash_flow_growth_acceleration_sector_zscore,,fundamental,True,False,False,True,False,True
fund__earnings_yield_missing,,fundamental,True,False,False,True,False,True
fund__sales_yield_missing,,fundamental,True,False,False,True,False,True
fund__book_to_market_missing,,fundamental,True,False,False,True,False,True
fund__fcf_yield_missing,,fundamental,True,False,False,True,False,True
fund__roe_missing,,fundamental,True,False,False,True,False,True
fund__roa_missing,,fundamental,True,False,False,True,False,True
fund__gross_profitability_missing,,fundamental,True,False,False,True,False,True
fund__gross_margin_missing,,fundamental,True,False,False,True,False,True
fund__operating_margin_missing,,fundamental,True,False,False,True,False,True
fund__net_margin_missing,,fundamental,True,False,False,True,False,True
fund__cash_conversion_missing,,fundamental,True,False,False,True,False,True
fund__debt_to_assets_missing,,fundamental,True,False,False,True,False,True
fund__net_debt_to_assets_missing,,fundamental,True,False,False,True,False,True
fund__current_ratio_missing,,fundamental,True,False,False,True,False,True
fund__interest_coverage_missing,,fundamental,True,False,False,True,False,True
fund__capex_to_assets_missing,,fundamental,True,False,False,True,False,True
fund__accruals_missing,,fundamental,True,False,False,True,False,True
fund__revenue_growth_yoy_missing,,fundamental,True,False,False,True,False,True
fund__net_income_growth_yoy_missing,,fundamental,True,False,False,True,False,True
fund__operating_cash_flow_growth_yoy_missing,,fundamental,True,False,False,True,False,True
fund__asset_growth_yoy_missing,,fundamental,True,False,False,True,False,True
fund__revenue_growth_acceleration_missing,,fundamental,True,False,False,True,False,True
fund__net_income_growth_acceleration_missing,,fundamental,True,False,False,True,False,True
fund__operating_cash_flow_growth_acceleration_missing,,fundamental,True,False,False,True,False,True
